WKT,GEOID,week_ending,biweekly_average_pm_pred,biweekly_average_pm_var,biweekly_average_o3_pred,biweekly_average_o3_var
"POINT (-764881.415875623 1888080.94894198)",08031001402,2014/05/04,4.49316939920601,1.10199051496277,54.2365255339315,9.12550782257135
"POINT (-763262.857979551 1887411.33958358)",08031001403,2014/05/04,4.41762798387571,1.12191121396951,54.237928556356,9.12665619290732
"POINT (-761660.407470584 1898440.75973519)",08031001500,2014/05/04,3.84139746625379,0.38038572422315,52.7932622236599,3.37634949534762
"POINT (-761744.403575175 1896345.88956587)",08031001600,2014/05/04,4.22688126925038,0.187697846150724,53.2768364810864,6.23054142374676
"POINT (-763116.147909712 1895513.06286357)",08031001701,2014/05/04,4.76550479106712,0.1749150734023,53.4361177864616,6.96583088713401
"POINT (-762588.1798157 1894527.07929323)",08031001702,2014/05/04,5.02289264676616,0.0793216993208437,53.8017519874725,8.27008109760084
"POINT (-762964.830320777 1892969.25312572)",08031001800,2014/05/04,5.43941643609967,0.327993825524834,54.0883072350017,8.9184759791773
"POINT (-764022.568676764 1893319.29174226)",08031001901,2014/05/04,5.80412518002264,0.0507843112457393,54.0505036803333,8.85169050193278
"POINT (-763858.17373433 1894726.32785669)",08031001902,2014/05/04,5.33281662947059,0.221540358901114,53.7423633035031,8.0945160308947
"POINT (-762525.40182543 1893423.91529279)",08031002000,2014/05/04,5.23265472077887,0.308267162960803,54.0340462119052,8.82090946032349
"POINT (-763161.449462096 1891214.02994403)",08031002100,2014/05/04,5.17017732027852,0.727711214283079,54.2027927930238,9.0857280436273
"POINT (-760221.006561739 1895567.60731155)",08031002300,2014/05/04,4.27808246478253,0.504586704927075,53.8537828229233,8.41223860743495
"POINT (-761041.176945066 1894917.89170528)",08031002402,2014/05/04,4.48085761167767,0.194153791525919,53.8506757319313,8.40405215904843
"POINT (-761402.539361947 1895343.06956381)",08031002403,2014/05/04,4.45794844280981,0.0832126956319788,53.6892199921034,7.92566376796816
"POINT (-761805.694959978 1894293.81674517)",08031002601,2014/05/04,4.80694564294975,0.138826785211513,53.9075233427256,8.54766585876332
"POINT (-761253.686899574 1894199.83400182)",08031002602,2014/05/04,4.6508466510375,0.267845500815724,53.9685545510321,8.68747102455982
"POINT (-761879.874329486 1893437.16197803)",08031002701,2014/05/04,4.95600717340766,0.393820901047275,54.0510275901766,8.85271695810589
"POINT (-761653.890432939 1892697.41365821)",08031002702,2014/05/04,4.92997010501842,0.650929871358084,54.1352289115015,8.99336505586598
"POINT (-761270.529818508 1893378.82193681)",08031002703,2014/05/04,4.78641151392079,0.520271969223309,54.0827052697676,8.90895972926634
"POINT (-761548.521804032 1892042.14159813)",08031002801,2014/05/04,4.85867309863792,0.81431683647475,54.1783336042376,9.05439238126026
"POINT (-762118.325015502 1891400.03158171)",08031002802,2014/05/04,4.93710257052787,0.849343459106043,54.1996323470008,9.08180650986203
"POINT (-761541.469946438 1891082.72880683)",08031002803,2014/05/04,4.74298879327515,0.9589163902037,54.2117275906141,9.0965640993612
"POINT (-762244.745871537 1889846.48063418)",08031002901,2014/05/04,4.66132264109916,1.03225831047849,54.2289383713642,9.11656967804022
"POINT (-761658.991894078 1889539.08240089)",08031002902,2014/05/04,4.55073027014757,1.07474308875488,54.2320454099318,9.12004622358499
"POINT (-762183.547709746 1887902.82273439)",08031003001,2014/05/04,4.42698726437611,1.11940443373491,54.2375212959334,9.12611674733682
"POINT (-762287.630384761 1886400.34716713)",08031003002,2014/05/04,4.36127470742417,1.13405310254393,54.238736080444,9.12746400657792
"POINT (-761053.703739518 1887359.22901912)",08031003003,2014/05/04,4.37422732253733,1.13265644463241,54.2383774419855,9.12702619768468
"POINT (-761087.40226741 1885964.0889346)",08031003004,2014/05/04,4.34586921905336,1.13811174224605,54.2389760323615,9.12768144897856
"POINT (-760292.41871531 1894714.39915157)",08031003101,2014/05/04,4.38430297805341,0.487649701829851,53.9808894541384,8.71391881375578
"POINT (-760351.868100899 1894112.87267582)",08031003102,2014/05/04,4.51586063886834,0.564279018836026,54.0531991096454,8.85670473004114
"POINT (-760645.75317961 1893157.03292316)",08031003201,2014/05/04,4.63648188595768,0.709235739757874,54.1290409385996,8.98399530258481
"POINT (-760091.561474879 1893102.62729753)",08031003202,2014/05/04,4.53420884107974,0.828093521382347,54.1531954018015,9.01970546930517
"POINT (-760532.834285293 1891763.19432564)",08031003203,2014/05/04,4.59902846637955,0.969371852237563,54.202101485096,9.0848630606519
"POINT (-759174.479891957 1892401.31733629)",08031003300,2014/05/04,4.43404042132363,1.02670910003738,54.2043686618476,9.0876509742614
"POINT (-760714.704528125 1890600.22458283)",08031003401,2014/05/04,4.54884423505505,1.05387700842707,54.2242622887967,9.11123979976322
"POINT (-760804.740684511 1888941.36314506)",08031003402,2014/05/04,4.43563075458283,1.11323262713043,54.2357313347422,9.12412237119823
"POINT (-759177.559385847 1898413.72029887)",08031003500,2014/05/04,4.17234956208029,0.945172264468263,53.8232781427836,8.33022429012106
