GEOID,total_crimes,total_violent,total_property,avg_total_crimes,avg_violent_crimes,avg_property_crimes,pop,crime_rate,violent_rate,property_rate
CEDAREDGE,66,4,62,0.00288247368650915,1.7469537493994847e-4,0.002707778311569201,2247,0.0012828098293320648,7.774605026254938e-5,0.0012050637790695154
CENTENNIAL,10077,1409,8668,0.44010132331746515,0.06153644582259685,0.37856487749486833,103461,0.004253789575950988,5.947791517827669e-4,0.0036590104241682212
CENTER,9,4,5,3.9306459361488407e-4,1.7469537493994847e-4,2.1836921867493558e-4,2153.3333333333335,1.8253773697285636e-4,8.112788309904727e-5,1.0140985387380909e-4
CENTRAL,8,NA,8,3.4939074987989693e-4,NA,3.4939074987989693e-4,-6,NA,NA,NA
CHERRY,315,NA,315,0.013757260776520942,NA,0.013757260776520942,1,13.757260776520942,NA,13.757260776520942
CHEYENNE,78,17,61,0.003406559811328995,7.42455343494781e-4,0.002664104467834214,1853,0.0018384024885747408,4.006774654585974e-4,0.0014377250231161435
CLEAR,87,NA,87,0.003799624404943879,NA,0.003799624404943879,-6,NA,NA,NA
COLORADO,113484,NA,113484,4.956282482421278,NA,4.956282482421278,-0.75,NA,NA,NA
COLUMBINE,83,NA,83,0.0036249290300039306,NA,0.0036249290300039306,-6,NA,NA,NA
COMMERCE,11460,NA,11460,0.5005022492029524,NA,0.5005022492029524,-6,NA,NA,NA
CONEJOS,74,39,35,0.0032318644363890465,0.0017032799056644974,0.001528584530724549,8364,3.864017738389582e-4,2.036441781043158e-4,1.8275759573464242e-4
CORTEZ,1,NA,1,4.367384373498712e-5,NA,4.367384373498712e-5,8570,5.096131124269209e-6,NA,5.096131124269209e-6
CRAIG,2,NA,2,8.734768746997423e-5,NA,8.734768746997423e-5,9246.5,9.44656761693335e-6,NA,9.44656761693335e-6
CRESTED,220,NA,220,0.009608245621697166,NA,0.009608245621697166,-6,NA,NA,NA
CUSTER,257,81,176,0.01122417783989169,0.003537581342533956,0.007686596497357733,4213.25,0.0026640189497161783,8.396324316226087e-4,0.0018243865180935697
DACONO,100,41,59,0.004367384373498711,0.0017906275931344718,0.0025767567803642397,4256.333333333333,0.0010260907761372178,4.2069721821625934e-4,6.053935579209585e-4
DE,12,NA,12,5.240861248198454e-4,NA,5.240861248198454e-4,-6,NA,NA,NA
DEL,132,NA,132,0.0057649473730183,NA,0.0057649473730183,-6,NA,NA,NA
DELTA,1457,267,1190,0.06363279032187623,0.01166091627724156,0.051971874044634665,12207.6,0.005212555319790641,9.552177559259445e-4,0.004257337563864696
DENVER,171566,32185,139381,7.4929466742368,1.4056426606105603,6.087304013626239,632108.4,0.011853895113934254,0.002223736720807001,0.009630158393127254
DILLON,242,29,213,0.010569070183866882,0.0012665414683146264,0.009302528715552255,895,0.011809016965214393,0.0014151301321951133,0.01039388683301928
DOLORES,99,18,81,0.004323710529763725,7.861291872297681e-4,0.003537581342533956,2024.4,0.0021357985229024526,3.8832700416408227e-4,0.0017474715187383698
DOUGLAS,7710,1307,6403,0.3367253351967507,0.05708171376162816,0.2796436214351225,191351.66666666666,0.001759719897205411,2.983078995651714e-4,0.0014614119976402392
DURANGO,1441,267,1174,0.06293400882211643,0.01166091627724156,0.051273092544874874,17439.333333333332,0.0036087393720392468,6.686560807317689e-4,0.002940083291307478
EAGLE,4256,624,3632,0.18587587893610516,0.02725247849063196,0.1586234004454732,18103,0.010267683750544394,0.0015054122792151554,0.008762271471329238
EATON,48,23,25,0.0020963444992793817,0.0010044984059047037,0.0010918460933746778,4529.6,4.628100713704039e-4,2.2176315919831852e-4,2.4104691217208537e-4
