WKT,GEOID,week_ending,biweekly_average_o3_pred,biweekly_average_o3_var
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/11/30,35.6331968577298,30.757743902226
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/12/14,24.7567252557443,83.4232103990023
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/12/28,28.0210854925102,43.0518369684847
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/01/12,36.2778707971738,60.805431651908
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/01/26,40.9200680272109,41.0282476749613
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/02/09,35.707244603043,39.7036850441468
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/02/23,40.1468566954065,15.1254121190239
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/03/09,38.249424042935,25.5836215384912
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/03/23,47.1938775510204,11.9551891222271
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/04/06,50.3673469399293,10.3581708181707
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/04/20,51.7346938778663,12.7366205525227
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/05/04,54.3674269483252,9.26396351791114
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/05/18,49.5643638089191,19.7716491346074
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/06/01,53.7907900117861,16.6607673228109
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/06/15,54.3513816840181,14.8031901242507
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/06/29,55.1836734693878,15.1096371413078
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/07/13,59.6220133949895,19.5067005434827
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/07/27,58.1734693877679,13.0114239003917
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/08/10,55.4814975497435,15.0269519932941
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/08/24,52.9999999999978,16.2112369088084
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/09/07,48.0036356752924,24.7754718613126
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/09/21,44.7060071493167,23.9083292945581
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/10/05,45.2679693841183,26.0268170258352
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/10/19,41.6832711315856,37.7451615597471
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/11/02,39.2955123099524,23.6228166790676
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/11/16,32.6122448979592,28.933452028348
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/11/30,37.6288427643289,29.7293290495638
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/12/14,25.7976282096242,102.032706809238
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/12/28,30.1004158939051,52.1643127673193
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/01/12,35.5411841816878,62.1096338003895
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/01/26,40.156746031746,41.8830028348563
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/02/09,34.7964147175079,40.6288129954524
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/02/23,40.1220269026923,15.3521993177169
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/03/09,37.9942205865741,25.8232231404105
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/03/23,46.7380952380952,12.2042555622735
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/04/06,49.928571429411,10.5739660439864
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/04/20,51.3690476193003,13.0019668141799
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/05/04,54.1667425983502,9.45699270846929
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/05/18,49.1220695314706,20.1846045722595
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/06/01,53.3045107985044,17.0430320581471
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/06/15,54.1019724278575,14.9946534198803
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/06/29,54.2142857142857,15.4244212484184
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/07/13,58.6059563747045,19.9136052996744
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/07/27,57.3571428570946,13.2824952316866
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/08/10,55.0793797088599,15.2064254359432
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/08/24,52.3571428570691,16.5489710111408
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/09/07,47.5217321776064,25.1626219179836
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/09/21,44.3839415267061,24.2300319716676
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/10/05,44.707325760506,26.356256222975
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/10/19,41.2803116303731,38.1791216657121
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/11/02,39.0087292239104,23.8770277609407
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/11/16,31.7738095238095,29.5362322789386
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/11/30,37.3207898452127,30.0130195239994
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/12/14,25.7520271073973,103.788548371137
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/12/28,29.1664688212688,53.4182876948085
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/01/12,36.2778707971738,60.805431651908
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/01/26,40.9200680272109,41.0282476749613
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/02/09,35.6814292933346,39.7065091852116
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/02/23,40.0045605643263,15.0995599167031
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/03/09,38.1838250171234,25.4978012754576
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/03/23,47.1938775510204,11.9551891222271
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/04/06,50.3673469399265,10.3581708181708
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/04/20,51.734693877866,12.7366205525227
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/05/04,54.3674250368489,9.26396359063189
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/05/18,49.5643638089191,19.7716491346074
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/06/01,53.7730013135506,16.6624816760585
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/06/15,54.3427152546394,14.788053184805
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/06/29,55.1836734693878,15.1096371413078
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/07/13,59.6219519932639,19.5067047276159
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/07/27,58.1734693877678,13.0114239003917
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/08/10,55.5653366914779,15.0010959427374
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/08/24,52.9999999999978,16.2112369088084
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/09/07,48.017855231741,24.759244307249
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/09/21,44.7130666546563,23.88277580865
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/10/05,45.3145302475685,25.9907764298491
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/10/19,41.6617832170692,37.6837633676428
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/11/02,39.276078527089,23.5794549401231
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/11/16,32.6122448979592,28.933452028348
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/11/30,37.6009704044387,29.6376206228274
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/12/14,25.493256766069,101.91995474871
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/12/28,30.0612301833576,52.1697718856519
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/01/12,36.2778707971738,60.805431651908
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/01/26,40.9200680272109,41.0282476749613
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/02/09,35.7007056958545,39.738223293928
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/02/23,40.0068806023381,15.3304016560642
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/03/09,38.1419464288098,25.7368537959564
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/03/23,47.1938775510204,11.9551891222271
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/04/06,50.367346939928,10.3581708181718
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/04/20,51.7346938778661,12.7366205525228
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/05/04,54.3674256192317,9.26396467870223
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/05/18,49.5643638089191,19.7716491346074
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/06/01,53.7782832979129,16.678398221578
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/06/15,54.3506083196544,14.9095360237256
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/06/29,55.1836734693878,15.1096371413078
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/07/13,59.6219570494547,19.5067513113456
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/07/27,58.1734693877679,13.0114239003917
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/08/10,55.5786268672918,15.0971680528057
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/08/24,52.9999999999978,16.2112369088084
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/09/07,48.0225445636151,24.8460733827674
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/09/21,44.7152625495582,24.0013759168322
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/10/05,45.3198997212353,26.1381477412567
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/10/19,41.6585302128974,37.9253058954231
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/11/02,39.3051609309642,23.7427916938703
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/11/16,32.6122448979592,28.933452028348
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/11/30,37.5773201501706,29.9060962424838
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/12/14,25.671224111736,103.643390975839
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/12/28,30.0925824174171,52.2316347382876
"POINT (-755163.024308296 1884220.32100911)",08031006811,2014/01/12,36.2778707971738,60.805431651908
"POINT (-755163.024308296 1884220.32100911)",08031006811,2014/01/26,40.9200680272109,41.0282476749613
"POINT (-755163.024308296 1884220.32100911)",08031006811,2014/02/09,35.640465828589,39.6821237717365
"POINT (-755163.024308296 1884220.32100911)",08031006811,2014/02/23,39.8664059999099,15.1570632752802
"POINT (-755163.024308296 1884220.32100911)",08031006811,2014/03/09,38.1043967997843,25.5497484719801
"POINT (-755163.024308296 1884220.32100911)",08031006811,2014/03/23,47.1938775510204,11.9551891222271
"POINT (-755163.024308296 1884220.32100911)",08031006811,2014/04/06,50.3673469399158,10.3581708181645
"POINT (-755163.024308296 1884220.32100911)",08031006811,2014/04/20,51.7346938778647,12.7366205525217
"POINT (-755163.024308296 1884220.32100911)",08031006811,2014/05/04,54.3674219922972,9.26396060604102
