WKT,GEOID,week_ending,biweekly_average_pm_pred,biweekly_average_pm_var
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/04/20,5.05911609177009,1.09822809672698
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/05/04,4.35415015998555,1.12938953345033
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/05/18,5.03934127659541,0.60510056339056
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/06/01,6.55455172575369,0.816617608170641
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/06/15,7.54589455836754,1.17930973509013
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/06/29,6.49909956824765,0.582358169906921
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/07/13,10.1075985822542,4.48516783537093
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/07/27,8.69637786992297,1.46783650728985
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/08/10,7.19310905884782,1.58714434654909
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/08/24,7.20532880913902,0.979056531090413
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/09/07,5.90665228654904,1.38878636977548
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/09/21,6.12139280801644,1.85971323219659
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/10/05,6.84263827432484,1.33959134904412
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/10/19,6.65937717349514,2.10204678738591
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/11/02,9.17625757548889,3.35250072544251
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/11/16,8.22532419457551,6.65983184844517
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/11/30,7.14231472438378,1.97084213983305
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/12/14,15.5811021369101,10.0032395175466
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/12/28,9.77337681627106,4.19763265645116
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/01/12,10.783726424232,9.64099580334827
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/01/26,6.03885079358749,1.80859597478502
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/02/09,16.4901663242094,29.0496549056294
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/02/23,12.4033665278218,21.3169278605401
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/03/09,9.88416749077223,2.48206741602887
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/03/23,3.87975667066463,0.775143113976757
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/04/06,5.46699567227847,1.20795511677179
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/04/20,5.01263381067231,1.06552910307242
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/05/04,4.34464476568367,1.09143352865475
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/05/18,5.23387577219746,0.490951954304877
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/06/01,6.40549729296608,0.702267944813834
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/06/15,7.50726889455995,1.12005946737929
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/06/29,7.12041245232552,0.267645953187502
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/07/13,10.0607692802552,4.36161993833938
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/07/27,8.5207868692364,1.18758279499613
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/08/10,7.1178107032131,1.5175973362747
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/08/24,7.06531783181722,0.777344458073122
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/09/07,5.95025466245943,1.31055087268186
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/09/21,6.25831126745743,1.68742851188638
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/10/05,6.69031844781195,1.14717262965459
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/10/19,6.63312884410295,1.94150486103725
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/11/02,8.69522909539825,2.86664792834992
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/11/16,8.11831527237845,6.57820322807264
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/11/30,6.61532279554092,1.58537218379064
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/12/14,14.9000429406417,9.08541110525707
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/12/28,10.0575838866967,3.29164049611901
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/01/12,10.8237306949846,9.82033327994644
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/01/26,6.0466186598155,1.82749313702057
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/02/09,16.4982395859027,31.8936598426658
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/02/23,12.1740592736753,22.9167264104968
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/03/09,9.74801183098702,2.9145300234485
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/03/23,3.7364768178686,0.890755695511457
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/04/06,5.46378246577598,1.22625658103139
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/04/20,5.03535010434624,1.09926132826593
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/05/04,4.33749757080385,1.13079819844935
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/05/18,5.16212567711528,0.612428490499919
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/06/01,6.40569557236189,0.763180494317797
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/06/15,7.49762665120282,1.1505032141155
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/06/29,6.92418251977311,0.494579010965602
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/07/13,10.0553609583567,4.41479347299132
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/07/27,8.68525711957668,1.46216228895786
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/08/10,7.1210562683016,1.53956556406765
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/08/24,7.03502819547893,0.943460253504297
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/09/07,5.90679152415969,1.39385941016563
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/09/21,6.1760107338486,1.84244333548982
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/10/05,6.66828541000655,1.28970723243093
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/10/19,6.61007613425179,2.02404280379068
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/11/02,8.73036299782765,3.23146344221111
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/11/16,8.15958033815907,6.65318402809708
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/11/30,6.70486469984405,1.93203026671574
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/12/14,14.9513172680979,9.45482547684271
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/12/28,9.95668547083947,4.10263694347934
